Generation,Fitmax,Fitness
0,1.63595,0.02485
1,1.63595,0.03117
2,1.63595,0.03959
3,1.63595,0.04552
4,1.63595,0.04818
5,1.63595,0.05312
6,1.63595,0.05597
7,1.63595,0.05826
8,1.63595,0.06493
9,1.63595,0.06863
10,1.63595,0.07249
11,1.63595,0.07840
12,1.63595,0.08191
13,1.63595,0.08527
14,1.63595,0.08934
15,1.63595,0.09310
16,1.63595,0.09818
17,1.70355,0.10643
18,1.70355,0.10766
19,1.70355,0.10773
20,1.70355,0.10543
21,1.70355,0.10776
22,1.70355,0.11267
23,1.70355,0.11267
24,1.70355,0.11267
25,1.70355,0.11396
26,1.70355,0.11859
27,1.70355,0.12102
28,1.70355,0.12351
29,1.70355,0.12622
30,1.70355,0.12879
31,1.70355,0.13396
32,1.70355,0.13509
33,1.70355,0.13510
34,1.70355,0.13656
35,1.70355,0.13645
36,1.70355,0.13913
37,1.70355,0.13877
38,1.70355,0.13998
39,1.70355,0.14492
40,1.70355,0.15010
41,1.70355,0.15272
42,1.70355,0.15272
43,1.70355,0.15392
44,1.70355,0.15907
45,1.70355,0.16287
46,1.70355,0.16288
47,1.70355,0.16160
48,1.70355,0.16279
49,1.70355,0.16161
50,1.70355,0.16523
51,1.70355,0.17044
52,1.70355,0.17159
53,1.70355,0.17274
54,1.71407,0.17582
55,1.71407,0.18186
56,1.71407,0.19051
57,1.71407,0.19396
58,1.71407,0.19527
59,1.71407,0.20053
60,1.71407,0.20064
61,1.71407,0.20435
62,1.71407,0.20564
63,1.71407,0.20933
64,1.71407,0.21054
65,1.71407,0.21054
66,1.71407,0.21314
67,1.71407,0.21549
68,1.71407,0.21950
69,1.71407,0.22193
70,1.71407,0.22219
71,1.71407,0.22219
72,1.71407,0.22485
73,1.71407,0.22756
74,1.71407,0.22881
75,1.71407,0.23017
76,1.85561,0.23458
77,1.85561,0.23574
78,1.85561,0.23714
79,1.85561,0.23831
80,1.85561,0.24243
81,1.85561,0.24244
82,1.85561,0.24528
83,1.85561,0.24528
84,1.85561,0.24502
85,1.85561,0.24491
86,1.85561,0.24598
87,1.85561,0.24717
88,1.85561,0.24985
89,1.85561,0.24985
90,1.85561,0.24986
91,1.85561,0.25106
92,1.85561,0.25216
93,1.85561,0.25207
94,1.85561,0.25223
95,1.85561,0.25347
96,1.85561,0.25594
97,1.85561,0.25631
98,1.85561,0.25536
99,1.85561,0.25429
100,1.85561,0.25319
101,1.85561,0.25545
102,1.85561,0.25597
103,1.85561,0.25360
104,1.85561,0.25611
105,1.85561,0.25504
106,1.85561,0.25763
107,1.85561,0.25624
108,1.85561,0.25764
109,1.85561,0.25765
110,1.85561,0.25792
111,1.85561,0.26060
112,1.85561,0.25868
113,1.85561,0.25638
114,1.85561,0.25896
115,1.85561,0.25786
116,1.85561,0.26055
117,1.85561,0.25967
118,1.85561,0.25977
119,1.85561,0.25990
120,1.85561,0.25889
121,1.85561,0.26119
122,1.85561,0.26131
123,1.85561,0.26152
124,1.85561,0.26018
125,1.85561,0.26051
126,1.85561,0.26289
127,1.85561,0.26218
128,1.85561,0.26530
129,1.85561,0.26765
130,1.85561,0.26661
131,1.85561,0.26335
132,1.85561,0.26715
133,1.85561,0.26730
134,1.85561,0.26408
135,1.85561,0.26296
136,1.85561,0.26427
137,1.85561,0.26341
138,1.85561,0.26440
139,1.85561,0.26244
140,1.85561,0.26348
141,1.85561,0.26361
142,1.85561,0.26580
143,1.85561,0.26595
144,1.85561,0.26855
145,1.85561,0.26878
146,1.85561,0.26963
147,1.85561,0.27111
148,1.85561,0.27026
149,1.85561,0.26875
150,1.85561,0.26984
151,1.85561,0.27111
152,1.85561,0.27102
153,1.85561,0.26992
154,1.85561,0.27162
155,1.85561,0.27157
156,1.85561,0.27050
157,1.85561,0.26909
158,1.85561,0.26814
159,1.85561,0.26843
160,1.85561,0.26754
161,1.85561,0.26741
162,1.85561,0.26643
163,1.85561,0.27012
164,1.85561,0.27007
165,1.85561,0.26771
166,1.85561,0.26639
167,1.85561,0.27151
168,1.85561,0.27073
169,1.85561,0.27327
170,1.85561,0.27581
171,1.85561,0.27632
172,1.85561,0.27444
173,1.85561,0.27614
174,1.85561,0.27508
175,1.85561,0.27531
176,2.42441,0.27566
177,2.42441,0.27566
178,2.42441,0.27607
179,2.42441,0.27485
180,2.42441,0.27373
181,2.42441,0.27416
182,2.42441,0.27597
183,2.42441,0.27347
184,2.42441,0.27446
185,2.42441,0.27462
186,2.42441,0.27443
187,2.42441,0.27952
188,2.42441,0.27611
189,2.42441,0.27629
190,2.42441,0.27655
191,2.42441,0.27656
192,2.42441,0.27553
193,2.42441,0.27416
